name_1,name_2,effective_utilization,fidelity,depth_avg,depth_diff,depth_max,depth_ratio,depth_sum,m1_critical_depth,m1_depth,m1_entanglement_ratio,m1_liveness,m1_measurement,m1_num_clbits,m1_num_cnot_gates,m1_num_connected_components,m1_num_measurements,m1_num_nonlocal_gates,m1_num_qubits,m1_number_instructions,m1_parallelism,m1_program_communication,m2_critical_depth,m2_depth,m2_entanglement_ratio,m2_liveness,m2_measurement,m2_num_clbits,m2_num_cnot_gates,m2_num_connected_components,m2_num_measurements,m2_num_nonlocal_gates,m2_num_qubits,m2_number_instructions,m2_parallelism,m2_program_communication,num_cnot_gates_avg,num_cnot_gates_diff,num_cnot_gates_max,num_cnot_gates_ratio,num_cnot_gates_sum,num_measurements_avg,num_measurements_diff,num_measurements_max,num_measurements_ratio,num_measurements_sum,num_nonlocal_gates_avg,num_nonlocal_gates_diff,num_nonlocal_gates_max,num_nonlocal_gates_ratio,num_nonlocal_gates_sum,num_qubits_avg,num_qubits_diff,num_qubits_max,num_qubits_ratio,num_qubits_sum,number_instructions_avg,number_instructions_diff,number_instructions_max,number_instructions_ratio,number_instructions_sum,pair_index,pareto_rank,topk_orig,topk_new
GHZ-8,QSVM-8,0.4366471734892787,0.8858909577832943,14.0,10.0,19.0,0.4736842105263157,28.0,1.0,9.0,0.875,0.3194444444444444,0.0,8.0,7.0,1.0,8.0,7.0,8.0,16.0,0.0,0.25,1.0,19.0,0.3043478260869565,0.4473684210526316,0.0,8.0,,1.0,8.0,14.0,8.0,54.0,0.5869565217391304,0.25,3.5,7.0,7.0,0.0,7.0,8.0,0.0,8.0,1.0,16.0,10.5,7.0,14.0,0.5,21.0,8.0,0.0,8.0,1.0,16.0,35.0,38.0,54.0,0.2962962962962963,70.0,130,18,False,False
HS-1-10,QAOA-P1-6,0.4897119341563785,0.9474078363075008,15.5,5.0,18.0,0.7222222222222222,31.0,1.0,13.0,0.2307692307692307,0.4461538461538462,0.0,10.0,,1.0,10.0,9.0,10.0,49.0,0.6666666666666667,0.2,1.0,18.0,0.3703703703703703,0.3981481481481481,0.0,6.0,10.0,1.0,6.0,10.0,6.0,33.0,0.3333333333333333,0.3333333333333333,5.0,10.0,10.0,0.0,10.0,8.0,4.0,10.0,0.6,16.0,9.5,1.0,10.0,0.9,19.0,8.0,4.0,10.0,0.6,16.0,41.0,16.0,49.0,0.673469387755102,82.0,131,7,False,False
QSVM-6,QSVM-10,0.5152979066022545,0.9171856489258792,19.0,8.0,23.0,0.6521739130434783,38.0,1.0,15.0,0.2941176470588235,0.5555555555555556,0.0,6.0,,1.0,6.0,10.0,6.0,40.0,0.5588235294117647,0.3333333333333333,1.0,23.0,0.3103448275862069,0.3739130434782609,0.0,10.0,,1.0,10.0,18.0,10.0,68.0,0.603448275862069,0.2,0.0,0.0,0.0,1.0,0.0,8.0,4.0,10.0,0.6,16.0,14.0,8.0,18.0,0.5555555555555556,28.0,8.0,4.0,10.0,0.6,16.0,54.0,28.0,68.0,0.5882352941176471,108.0,132,8,False,False
QAOA-P1-4,W-STATE-12,0.5155555555555555,0.7828203048489174,18.5,13.0,25.0,0.48,37.0,1.0,12.0,0.3529411764705882,0.5625,0.0,4.0,6.0,1.0,4.0,6.0,4.0,21.0,0.2941176470588235,0.5,0.5454545454545454,25.0,0.5,0.26,0.0,12.0,11.0,1.0,12.0,22.0,12.0,56.0,0.4318181818181817,0.1666666666666666,8.5,5.0,11.0,0.5454545454545454,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,14.0,16.0,22.0,0.2727272727272727,28.0,8.0,8.0,12.0,0.3333333333333333,16.0,38.5,35.0,56.0,0.375,77.0,133,19,False,False
QAOA-R3-10,QSVM-6,0.4814814814814815,0.9220627766992175,22.5,15.0,30.0,0.5,45.0,0.6,30.0,0.4615384615384615,0.35,0.0,10.0,30.0,1.0,10.0,30.0,10.0,75.0,0.5384615384615384,0.3333333333333333,1.0,15.0,0.2941176470588235,0.5555555555555556,0.0,6.0,,1.0,6.0,10.0,6.0,40.0,0.5588235294117647,0.3333333333333333,15.0,30.0,30.0,0.0,30.0,8.0,4.0,10.0,0.6,16.0,20.0,20.0,30.0,0.3333333333333333,40.0,8.0,4.0,10.0,0.6,16.0,57.5,35.0,75.0,0.5333333333333333,115.0,134,10,False,False
TL-1-6,TL-1-10,0.5242165242165242,0.9352936187524338,11.0,4.0,13.0,0.6923076923076923,22.0,1.0,9.0,0.3333333333333333,0.5555555555555556,0.0,6.0,,1.0,6.0,6.0,6.0,24.0,0.5,0.4,1.0,13.0,0.3333333333333333,0.3846153846153846,0.0,10.0,,1.0,10.0,10.0,10.0,40.0,0.5666666666666667,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,8.0,4.0,10.0,0.6,16.0,8.0,4.0,10.0,0.6,16.0,8.0,4.0,10.0,0.6,16.0,32.0,16.0,40.0,0.6,64.0,135,7,False,False
QAOA-P1-4,TL-1-12,0.562962962962963,0.905175985012086,13.5,3.0,15.0,0.8,27.0,1.0,12.0,0.3529411764705882,0.5625,0.0,4.0,6.0,1.0,4.0,6.0,4.0,21.0,0.2941176470588235,0.5,1.0,15.0,0.3333333333333333,0.3333333333333333,0.0,12.0,,1.0,12.0,12.0,12.0,48.0,0.5833333333333333,0.1818181818181818,3.0,6.0,6.0,0.0,6.0,8.0,8.0,12.0,0.3333333333333333,16.0,9.0,6.0,12.0,0.5,18.0,8.0,8.0,12.0,0.3333333333333333,16.0,34.5,27.0,48.0,0.4375,69.0,136,4,True,False
BV-4,W-STATE-12,0.48,0.7492069302098585,15.5,19.0,25.0,0.24,31.0,1.0,6.0,0.2,0.625,0.0,4.0,2.0,3.0,3.0,2.0,4.0,13.0,0.4,0.3333333333333333,0.5454545454545454,25.0,0.5,0.26,0.0,12.0,11.0,1.0,12.0,22.0,12.0,56.0,0.4318181818181817,0.1666666666666666,6.5,9.0,11.0,0.1818181818181818,13.0,7.5,9.0,12.0,0.25,15.0,12.0,20.0,22.0,0.0909090909090909,24.0,8.0,8.0,12.0,0.3333333333333333,16.0,34.5,43.0,56.0,0.2321428571428571,69.0,137,25,False,False
BV-12,QAOA-P1-4,0.4814814814814814,0.881915156727146,10.5,3.0,12.0,0.75,21.0,1.0,9.0,0.1724137931034483,0.4166666666666667,0.0,12.0,5.0,8.0,11.0,5.0,12.0,40.0,0.6896551724137931,0.0757575757575757,1.0,12.0,0.3529411764705882,0.5625,0.0,4.0,6.0,1.0,4.0,6.0,4.0,21.0,0.2941176470588235,0.5,5.5,1.0,6.0,0.8333333333333334,11.0,7.5,7.0,11.0,0.3636363636363636,15.0,5.5,1.0,6.0,0.8333333333333334,11.0,8.0,8.0,12.0,0.3333333333333333,16.0,30.5,19.0,40.0,0.525,61.0,138,16,False,False
QSVM-4,VQE-1-12,0.5608465608465608,0.8267698481404648,12.5,3.0,14.0,0.7857142857142857,25.0,1.0,11.0,0.2727272727272727,0.7272727272727273,0.0,4.0,,1.0,4.0,6.0,4.0,26.0,0.5,0.5,1.0,14.0,0.3142857142857143,0.3452380952380952,0.0,12.0,11.0,1.0,12.0,11.0,12.0,47.0,0.6,0.1666666666666666,5.5,11.0,11.0,0.0,11.0,8.0,8.0,12.0,0.3333333333333333,16.0,8.5,5.0,11.0,0.5454545454545454,17.0,8.0,8.0,12.0,0.3333333333333333,16.0,36.5,21.0,47.0,0.5531914893617021,73.0,139,8,False,False
