row_index,pair_index,name_1,name_2,effective_utilization,fidelity,util_source,fidelity_source,backend,shots,csv_effective_utilization,csv_fidelity,job_id,json_file,utilization_file,pareto_rank,topk_orig,topk_new
14,14,HS-1-12,TL-1-12,0.18045112781954883,0.7110735658932357,utilization_file,hellinger_mean,ibm_torino,1000,0.8888888888888888,0.6408276554512308,d63tidbtraac73bhng3g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00014_HS-1-12__TL-1-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00014_HS-1-12__TL-1-12_utilization.json,1,False,True
15,15,GHZ-12,VQE-1-12,0.1740064446831364,0.6432943726731037,utilization_file,hellinger_mean,ibm_torino,1000,0.8571428571428571,0.653998124764666,d63tii3c4tus73ff26rg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00015_GHZ-12__VQE-1-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00015_GHZ-12__VQE-1-12_utilization.json,4,False,True
16,16,HS-1-20,QSVM-4,0.16475972540045766,0.5103525236683614,utilization_file,hellinger_mean,ibm_torino,1000,0.8115942028985508,0.5483942838136842,d63timvs6ggc73fic4gg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00016_HS-1-20__QSVM-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00016_HS-1-20__QSVM-4_utilization.json,13,False,False
17,17,BV-14,QAOA-P1-10,0.12030075187969924,0.38982424233688107,utilization_file,hellinger_mean,ibm_torino,1000,0.5925925925925926,0.6359497229180324,d63titjc4tus73ff278g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00017_BV-14__QAOA-P1-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00017_BV-14__QAOA-P1-10_utilization.json,40,False,False
18,18,TL-1-6,TL-1-18,0.15467239527389903,0.6093702209321279,utilization_file,hellinger_mean,ibm_torino,1000,0.7619047619047618,0.5214498467330605,d63tj2rtraac73bhngsg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00018_TL-1-6__TL-1-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00018_TL-1-6__TL-1-18_utilization.json,11,False,False
19,19,BV-8,QAOA-P1-16,0.13812308549150654,0.10625352647551994,utilization_file,hellinger_mean,ibm_torino,1000,0.6803840877914951,0.4390922558653388,d63tj8jc4tus73ff27l0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00019_BV-8__QAOA-P1-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00019_BV-8__QAOA-P1-16_utilization.json,40,False,False
20,20,BV-6,BV-18,0.16541353383458646,0.061999999999999875,utilization_file,hellinger_mean,ibm_torino,1000,0.8148148148148147,0.723,d63tjefs6ggc73fic5a0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00020_BV-6__BV-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00020_BV-6__BV-18_utilization.json,15,True,False
21,21,GHZ-18,W-STATE-6,0.1662049861495845,0.4423228756555323,utilization_file,hellinger_mean,ibm_torino,1000,0.8187134502923976,0.6949874857162438,d63tjivs6ggc73fic5g0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00021_GHZ-18__W-STATE-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00021_GHZ-18__W-STATE-6_utilization.json,14,False,False
22,22,GHZ-18,VQE-1-6,0.15433320142461415,0.4036576195836006,utilization_file,hellinger_mean,ibm_torino,1000,0.7602339181286548,0.7070240968541729,d63tjmrc4tus73ff284g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00022_GHZ-18__VQE-1-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00022_GHZ-18__VQE-1-6_utilization.json,29,False,False
23,23,HS-1-18,QAOA-P1-6,0.1740064446831364,0.5462275271358639,utilization_file,hellinger_mean,ibm_torino,1000,0.8571428571428571,0.5565138726000121,d63tjqvs6ggc73fic5og,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00023_HS-1-18__QAOA-P1-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00023_HS-1-18__QAOA-P1-6_utilization.json,7,False,False
24,24,BV-18,HS-1-6,0.16917293233082706,0.5036266287115346,utilization_file,hellinger_mean,ibm_torino,1000,0.8333333333333331,0.7813960035280725,d63tjvbc4tus73ff28dg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00024_BV-18__HS-1-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00024_BV-18__HS-1-6_utilization.json,10,True,False
25,25,HS-1-14,VQE-1-10,0.15833701901813357,0.6224751516531664,utilization_file,hellinger_mean,ibm_torino,1000,0.7799564270152506,0.5558777627820374,d63tk3jc4tus73ff28ig,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00025_HS-1-14__VQE-1-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00025_HS-1-14__VQE-1-10_utilization.json,9,False,False
26,26,HS-1-8,HS-1-16,0.15512465373961218,0.6090901927982939,utilization_file,hellinger_mean,ibm_torino,1000,0.7641325536062377,0.5864152842091981,d63tk7ns6ggc73fic6a0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00026_HS-1-8__HS-1-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00026_HS-1-8__HS-1-16_utilization.json,10,False,False
27,27,QSVM-8,QSVM-16,0.15295381310418904,0.42611583376275974,utilization_file,hellinger_mean,ibm_torino,1000,0.7534391534391535,0.431522786579727,d63tkbns6ggc73fic6f0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00027_QSVM-8__QSVM-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00027_QSVM-8__QSVM-16_utilization.json,31,False,False
28,28,HS-1-10,QSVM-14,0.13679359689546447,0.5030720612126705,utilization_file,hellinger_mean,ibm_torino,1000,0.6738351254480287,0.4350860172397042,d63tkfio8gvs73f3qqu0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00028_HS-1-10__QSVM-14.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00028_HS-1-10__QSVM-14_utilization.json,22,False,False
29,29,QSVM-4,TL-1-20,0.16475972540045766,0.5886825699646043,utilization_file,hellinger_mean,ibm_torino,1000,0.8115942028985508,0.534643978516881,d63tkkvs6ggc73fic6q0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00029_QSVM-4__TL-1-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00029_QSVM-4__TL-1-20_utilization.json,8,False,False
30,30,VQE-1-8,W-STATE-16,0.13852813852813853,0.40158885891483515,utilization_file,hellinger_mean,ibm_torino,1000,0.6823793490460156,0.619,d63tkqjc4tus73ff29c0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00030_VQE-1-8__W-STATE-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00030_VQE-1-8__W-STATE-16_utilization.json,37,False,False
31,31,QAOA-P1-14,QAOA-R3-10,0.18045112781954883,0.4608892571938414,utilization_file,hellinger_mean,ibm_torino,1000,0.8888888888888888,0.3504766821462283,d63tkujc4tus73ff29g0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00031_QAOA-P1-14__QAOA-R3-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00031_QAOA-P1-14__QAOA-R3-10_utilization.json,8,False,True
32,32,GHZ-8,QSVM-16,0.13576799140708914,0.3689594108700703,utilization_file,hellinger_mean,ibm_torino,1000,0.6687830687830687,0.4172289218657057,d63tl2ns6ggc73fic780,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00032_GHZ-8__QSVM-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00032_GHZ-8__QSVM-16_utilization.json,40,False,False
33,33,GHZ-18,HS-1-6,0.15670755836960823,0.49272017727909195,utilization_file,hellinger_mean,ibm_torino,1000,0.7719298245614035,0.7656910830013597,d63tl6qo8gvs73f3qrlg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00033_GHZ-18__HS-1-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00033_GHZ-18__HS-1-6_utilization.json,21,False,False
34,34,QAOA-P1-20,W-STATE-4,0.16040100250626566,0.452505462966284,utilization_file,hellinger_mean,ibm_torino,1000,0.7901234567901234,0.442164643455292,d63tlarc4tus73ff29tg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00034_QAOA-P1-20__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00034_QAOA-P1-20__W-STATE-4_utilization.json,20,False,False
35,35,QAOA-P1-14,TL-1-10,0.13784461152882205,0.5517569701862218,utilization_file,hellinger_mean,ibm_torino,1000,0.6790123456790123,0.443398906259491,d63tlgio8gvs73f3qrv0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00035_QAOA-P1-14__TL-1-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00035_QAOA-P1-14__TL-1-10_utilization.json,18,False,False
36,36,QSVM-20,W-STATE-4,0.15667074663402691,0.45871380467444434,utilization_file,hellinger_mean,ibm_torino,1000,0.7717484926787254,0.4460651421356237,d63tlkvs6ggc73fic7ug,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00036_QSVM-20__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00036_QSVM-20__W-STATE-4_utilization.json,25,False,False
37,37,HS-1-12,QAOA-R3-12,0.14035087719298242,0.5432031439573828,utilization_file,hellinger_mean,ibm_torino,1000,0.691358024691358,0.4274715851113948,d63tlr2o8gvs73f3qs90,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00037_HS-1-12__QAOA-R3-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00037_HS-1-12__QAOA-R3-12_utilization.json,18,False,False
38,38,BV-14,GHZ-10,0.16131237183868763,0.35039630868326455,utilization_file,hellinger_mean,ibm_torino,1000,0.7946127946127945,0.7104990590443814,d63tlv3c4tus73ff2ajg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00038_BV-14__GHZ-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00038_BV-14__GHZ-10_utilization.json,20,False,False
39,39,HS-1-18,TL-1-6,0.15467239527389903,0.5101341598149842,utilization_file,hellinger_mean,ibm_torino,1000,0.7619047619047618,0.5582461016160282,d63tm3bc4tus73ff2aog,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00039_HS-1-18__TL-1-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00039_HS-1-18__TL-1-6_utilization.json,17,False,False
40,40,QAOA-P1-10,QSVM-14,0.1561969439728353,0.4278222624624752,utilization_file,hellinger_mean,ibm_torino,1000,0.7694145758661887,0.3380327536793995,d63tmkrtraac73bhnkhg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00040_QAOA-P1-10__QSVM-14.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00040_QAOA-P1-10__QSVM-14_utilization.json,26,False,False
41,41,GHZ-4,QSVM-20,0.15387305472984786,0.4423218309976005,utilization_file,hellinger_mean,ibm_torino,1000,0.7579672695951766,0.4541095780796655,d63tmoio8gvs73f3qt90,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00041_GHZ-4__QSVM-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00041_GHZ-4__QSVM-20_utilization.json,29,False,False
42,42,QAOA-R3-16,QSVM-8,0.15493278651173387,0.4712265487859276,utilization_file,hellinger_mean,ibm_torino,1000,0.7631874298540964,0.4364344121802178,d63tmurc4tus73ff2bpg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00042_QAOA-R3-16__QSVM-8.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00042_QAOA-R3-16__QSVM-8_utilization.json,25,False,False
43,43,QAOA-P1-4,TL-1-20,0.16606734226871528,0.6015180520805967,utilization_file,hellinger_mean,ibm_torino,1000,0.818035426731079,0.5357739333404622,d63tn33c4tus73ff2bug,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00043_QAOA-P1-4__TL-1-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00043_QAOA-P1-4__TL-1-20_utilization.json,7,False,False
44,44,HS-1-6,VQE-1-18,0.15563909774436088,0.5124592013859685,utilization_file,hellinger_mean,ibm_torino,1000,0.7666666666666666,0.6045416441754865,d63tn8qo8gvs73f3qtp0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00044_HS-1-6__VQE-1-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00044_HS-1-6__VQE-1-18_utilization.json,16,False,False
45,45,HS-1-14,QAOA-R3-10,0.13483709273182956,0.6175989012096164,utilization_file,hellinger_mean,ibm_torino,1000,0.6641975308641974,0.5109610871159351,d63tndbtraac73bhnla0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00045_HS-1-14__QAOA-R3-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00045_HS-1-14__QAOA-R3-10_utilization.json,12,False,False
46,46,GHZ-20,TL-1-4,0.16040100250626566,0.5490140692906909,utilization_file,hellinger_mean,ibm_torino,1000,0.7901234567901234,0.7349789349013999,d63tnhbc4tus73ff2ceg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00046_GHZ-20__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00046_GHZ-20__TL-1-4_utilization.json,11,False,False
47,47,BV-12,TL-1-12,0.14436090225563908,0.39486181621887095,utilization_file,hellinger_mean,ibm_torino,1000,0.7111111111111111,0.7112960413234816,d63tnlbc4tus73ff2cjg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00047_BV-12__TL-1-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00047_BV-12__TL-1-12_utilization.json,37,False,False
48,48,GHZ-20,W-STATE-4,0.163265306122449,0.5040256241897666,utilization_file,hellinger_mean,ibm_torino,1000,0.8042328042328043,0.6958035958273702,d63tnpao8gvs73f3qu90,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00048_GHZ-20__W-STATE-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00048_GHZ-20__W-STATE-4_utilization.json,15,True,False
49,49,QAOA-P1-6,QAOA-R3-18,0.15338345864661654,0.4775731859545569,utilization_file,hellinger_mean,ibm_torino,1000,0.7555555555555554,0.4757084300482677,d63tntbtraac73bhnls0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00049_QAOA-P1-6__QAOA-R3-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00049_QAOA-P1-6__QAOA-R3-18_utilization.json,25,False,False
50,50,QSVM-4,QSVM-20,0.15806959258611644,0.4905603971256387,utilization_file,hellinger_mean,ibm_torino,1000,0.7786391042204995,0.4925260767690265,d63tsvrc4tus73ff2i1g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00050_QSVM-4__QSVM-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00050_QSVM-4__QSVM-20_r1_utilization.json,19,False,False
51,51,BV-20,GHZ-4,0.16194331983805668,0.464824444473957,utilization_file,hellinger_mean,ibm_torino,1000,0.7977207977207977,0.7397223541065623,d63tt7fs6ggc73ficfsg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00051_BV-20__GHZ-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00051_BV-20__GHZ-4_utilization.json,18,False,False
52,52,QAOA-P1-4,W-STATE-20,0.15917843388960207,0.5416789811108211,utilization_file,hellinger_mean,ibm_torino,1000,0.7841011743450769,0.6791506291332869,d63ttc7s6ggc73ficg20,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00052_QAOA-P1-4__W-STATE-20.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00052_QAOA-P1-4__W-STATE-20_utilization.json,13,False,False
53,53,QAOA-R3-18,W-STATE-6,0.14837092731829574,0.45955627082838335,utilization_file,hellinger_mean,ibm_torino,1000,0.7308641975308641,0.4212830584412271,d63tth3c4tus73ff2ikg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00053_QAOA-R3-18__W-STATE-6.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00053_QAOA-R3-18__W-STATE-6_utilization.json,28,False,False
54,54,BV-8,HS-1-16,0.14562722595963593,0.1634282142014664,utilization_file,hellinger_mean,ibm_torino,1000,0.7173489278752436,0.5714716082514376,d63ttlfs6ggc73ficgbg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00054_BV-8__HS-1-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00054_BV-8__HS-1-16_utilization.json,39,False,False
55,55,BV-8,QAOA-R3-16,0.13488266119845066,0.07949498289146618,utilization_file,hellinger_mean,ibm_torino,1000,0.664421997755331,0.4305361499914448,d63ttpjtraac73bhnrr0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00055_BV-8__QAOA-R3-16.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00055_BV-8__QAOA-R3-16_utilization.json,41,False,False
56,56,HS-1-12,QSVM-12,0.14035087719298242,0.5504094519911207,utilization_file,hellinger_mean,ibm_torino,1000,0.691358024691358,0.4385803167085826,d63tttjc4tus73ff2j2g,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00056_HS-1-12__QSVM-12.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00056_HS-1-12__QSVM-12_utilization.json,17,False,False
57,57,QAOA-R3-14,W-STATE-10,0.15311004784688995,0.4264412503864199,utilization_file,hellinger_mean,ibm_torino,1000,0.7542087542087542,0.3338185899107578,d63tu1ao8gvs73f3r4ig,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00057_QAOA-R3-14__W-STATE-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00057_QAOA-R3-14__W-STATE-10_utilization.json,30,False,False
58,58,GHZ-6,TL-1-18,0.15037593984962405,0.5682938450352623,utilization_file,hellinger_mean,ibm_torino,1000,0.7407407407407406,0.4841510282411688,d63tu5ns6ggc73fich00,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00058_GHZ-6__TL-1-18.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00058_GHZ-6__TL-1-18_utilization.json,15,False,False
59,59,HS-1-20,TL-1-4,0.15952925792742728,0.5215895785887599,utilization_file,hellinger_mean,ibm_torino,1000,0.785829307568438,0.5378167843846685,d63tua3traac73bhnsfg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00059_HS-1-20__TL-1-4.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00059_HS-1-20__TL-1-4_utilization.json,14,False,False
60,60,GHZ-14,QSVM-10,0.14383785550833605,0.477784912028974,utilization_file,hellinger_mean,ibm_torino,1000,0.7085346215780999,0.5613759114703427,d63tufvs6ggc73fichb0,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00060_GHZ-14__QSVM-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00060_GHZ-14__QSVM-10_utilization.json,26,False,False
61,61,BV-14,HS-1-10,0.14806246385193753,0.4484034648481727,utilization_file,hellinger_mean,ibm_torino,1000,0.7293447293447293,0.708373950436227,d63tujrtraac73bhnspg,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/util88/fidelity/pair_00061_BV-14__HS-1-10.json,/work/nvme/betu/lily/QOS/ibm_quantum/jobs/sweep_util88_00061_BV-14__HS-1-10_utilization.json,31,False,False
